日期,付费金额,uid
2021/2/18 23:30,60,5892335
2021/2/18 23:30,300,5900351
2021/2/18 23:28,300,6487187
2021/2/18 23:26,1980,2193488
2021/2/18 23:21,300,6412416
2021/2/18 23:21,60,6755792
2021/2/18 23:11,300,6072998
2021/2/18 23:00,60,6399577
2021/2/18 23:00,60,6834170
2021/2/18 22:59,150,6743942
2021/2/18 22:55,680,6399577
2021/2/18 22:55,1980,6829212
2021/2/18 22:52,3280,6680827
2021/2/18 22:50,1980,3968604
2021/2/18 22:45,150,6643680
2021/2/18 22:45,60,6324384
2021/2/18 22:44,300,6643680
2021/2/18 22:44,30,6324384
2021/2/18 22:42,1280,6324384
2021/2/18 22:42,60,6764174
2021/2/18 22:40,60,6395123
2021/2/18 22:39,300,6395123
2021/2/18 22:33,680,6835156
2021/2/18 22:24,60,6634538
2021/2/18 22:23,300,6634538
2021/2/18 22:23,300,6634538
2021/2/18 22:17,60,6834319
2021/2/18 22:17,1980,6832104
2021/2/18 22:16,60,4558199
2021/2/18 22:14,300,6834319
2021/2/18 22:13,680,5445004
2021/2/18 22:12,300,4558199
2021/2/18 22:11,60,4558199
2021/2/18 22:10,300,6783517
2021/2/18 22:09,60,4558199
2021/2/18 22:08,680,6828742
2021/2/18 22:07,150,6733495
2021/2/18 22:06,1280,2202951
2021/2/18 22:02,150,6832003
2021/2/18 21:59,300,6460613
2021/2/18 21:52,60,6485498
2021/2/18 21:52,300,6145913
2021/2/18 21:52,30,6826826
2021/2/18 21:52,60,6316176
2021/2/18 21:51,30,6826826
2021/2/18 21:51,300,6832185
2021/2/18 21:45,300,6758952
2021/2/18 21:45,300,6830029
2021/2/18 21:42,680,5404027
2021/2/18 21:40,300,6574240
2021/2/18 21:37,300,6703699
2021/2/18 21:36,300,6406703
2021/2/18 21:33,300,2353286
2021/2/18 21:30,300,4737551
2021/2/18 21:26,60,2479232
2021/2/18 21:26,300,2479232
2021/2/18 21:23,60,6129140
2021/2/18 21:22,60,6129140
2021/2/18 21:21,300,6129140
2021/2/18 21:21,30,6830056
2021/2/18 21:19,30,6669557
2021/2/18 21:18,150,6669557
2021/2/18 21:17,30,6828913
2021/2/18 21:17,300,6826009
2021/2/18 21:16,6480,5794469
2021/2/18 21:13,150,6557065
2021/2/18 21:07,30,6826457
2021/2/18 21:05,30,6750485
2021/2/18 21:05,300,6823807
2021/2/18 21:04,1280,3532325
2021/2/18 21:03,300,6783517
2021/2/18 20:58,60,6773583
2021/2/18 20:56,150,6773583
2021/2/18 20:52,300,2207236
2021/2/18 20:52,3280,6759011
2021/2/18 20:51,30,6743942
2021/2/18 20:51,60,6810173
2021/2/18 20:51,680,6489469
2021/2/18 20:51,150,6743942
2021/2/18 20:51,1280,5954491
2021/2/18 20:40,1280,6692931
2021/2/18 20:38,300,6291149
2021/2/18 20:35,60,5854522
2021/2/18 20:33,300,6822494
2021/2/18 20:21,60,6822679
2021/2/18 20:18,60,6747149
2021/2/18 20:17,1280,6817613
2021/2/18 20:15,300,6643680
2021/2/18 20:11,60,6464977
2021/2/18 20:10,30,6464977
2021/2/18 20:02,300,4079402
2021/2/18 20:01,60,4060050
2021/2/18 20:01,300,4060050
2021/2/18 19:53,30,6777619
2021/2/18 19:52,30,6777619
2021/2/18 19:51,60,2544308
2021/2/18 19:47,30,6818175
2021/2/18 19:46,60,6800948
2021/2/18 19:43,60,6706619
2021/2/18 19:40,300,6667305
2021/2/18 19:40,150,4413911
2021/2/18 19:39,60,6756113
2021/2/18 19:38,30,6756113
2021/2/18 19:37,30,4413911
2021/2/18 19:35,680,6783517
2021/2/18 19:33,300,6690752
2021/2/18 19:31,300,6759011
2021/2/18 19:29,300,6691791
2021/2/18 19:28,60,6809445
2021/2/18 19:26,300,6398217
2021/2/18 19:23,300,6364001
2021/2/18 19:21,30,6783927
2021/2/18 19:21,60,6817984
2021/2/18 19:20,680,6364001
2021/2/18 19:09,300,6806478
2021/2/18 19:05,60,5349617
2021/2/18 19:03,300,2569176
2021/2/18 19:03,300,2569176
2021/2/18 18:58,300,6779973
2021/2/18 18:57,300,6284871
2021/2/18 18:56,150,6467691
2021/2/18 18:54,30,6788507
2021/2/18 18:49,30,6774550
2021/2/18 18:47,150,6808669
2021/2/18 18:46,60,6673639
2021/2/18 18:43,680,6152963
2021/2/18 18:43,6480,6124839
2021/2/18 18:39,300,6761296
2021/2/18 18:29,300,4126088
2021/2/18 18:29,60,6763648
2021/2/18 18:28,300,6763648
2021/2/18 18:26,30,6419628
2021/2/18 18:24,60,6704026
2021/2/18 18:24,1280,6783517
2021/2/18 18:23,60,6806867
2021/2/18 18:21,60,6810700
2021/2/18 18:21,680,6670740
2021/2/18 18:20,1280,6525958
2021/2/18 18:19,30,6809226
2021/2/18 18:18,30,6809226
2021/2/18 18:08,30,6808284
2021/2/18 18:07,60,6591063
2021/2/18 17:57,300,6796263
2021/2/18 17:49,150,4255556
2021/2/18 17:48,1980,6739400
2021/2/18 17:42,60,6558487
2021/2/18 17:40,300,6558487
2021/2/18 17:39,150,6558487
2021/2/18 17:38,300,2193488
2021/2/18 17:37,60,2216857
2021/2/18 17:37,60,6807384
2021/2/18 17:36,60,2216857
2021/2/18 17:36,60,2216857
2021/2/18 17:35,30,6772426
2021/2/18 17:34,300,6788507
2021/2/18 17:33,60,5516314
2021/2/18 17:31,30,6806108
2021/2/18 17:29,300,6644230
2021/2/18 17:28,60,2968861
2021/2/18 17:22,300,6800437
2021/2/18 17:22,60,6803402
2021/2/18 17:20,300,6396034
2021/2/18 17:20,300,6396034
2021/2/18 17:19,60,6396034
2021/2/18 17:16,300,6524163
2021/2/18 17:08,300,6763648
2021/2/18 17:06,300,5685184
2021/2/18 16:59,30,6763648
2021/2/18 16:56,1280,6652255
2021/2/18 16:54,30,2329789
2021/2/18 16:53,30,6568871
2021/2/18 16:44,60,2212838
2021/2/18 16:42,60,6689744
2021/2/18 16:38,1280,5523684
2021/2/18 16:37,60,3852525
2021/2/18 16:35,300,2569176
2021/2/18 16:35,300,2569176
2021/2/18 16:32,60,3852525
2021/2/18 16:28,300,6788999
2021/2/18 16:28,60,6713694
2021/2/18 16:26,60,6663157
2021/2/18 16:25,60,6663157
2021/2/18 16:25,30,6790410
2021/2/18 16:21,30,5480329
2021/2/18 16:02,60,6589365
2021/2/18 15:54,300,6324384
2021/2/18 15:49,300,6755272
2021/2/18 15:47,60,4916588
2021/2/18 15:45,300,4916588
2021/2/18 15:45,30,6770676
2021/2/18 15:44,60,4916588
2021/2/18 15:44,60,2569176
2021/2/18 15:42,60,6765674
2021/2/18 15:42,680,5427704
2021/2/18 15:42,300,6374984
2021/2/18 15:39,30,2254296
2021/2/18 15:38,30,2210464
2021/2/18 15:35,300,4916588
2021/2/18 15:30,680,6687824
2021/2/18 15:29,300,6792455
2021/2/18 15:22,30,6764692
2021/2/18 15:19,680,6326862
2021/2/18 15:13,300,6451091
2021/2/18 15:13,300,6451091
2021/2/18 15:10,300,2216857
2021/2/18 15:07,60,6527343
2021/2/18 15:07,60,6527343
