,label,counts
6910,得意,75
1938,手段,75
5456,北元,75
8602,一封,75
2179,除掉,74
1246,城门,74
4945,意料,74
3166,效果,74
1277,这支,74
3520,防守,74
1449,中央,74
1114,贪污,74
327,未必,74
1249,一步,74
3422,下属,74
1337,顺便,74
29213,赵文华,73
5300,无耻,73
758,建立,73
8328,着实,73
306,河南,73
4555,责任,73
239,统治,73
270,意义,73
1456,一举,73
2405,势力,73
2616,会议,72
213,老实,72
10704,部落,72
1880,将军,72
2550,几位,72
305,山东,72
7784,隆庆,72
1068,相当于,72
2831,时机,72
1967,完蛋,72
6101,上级,72
42141,民军,72
2003,干过,72
2478,舰队,72
126,夜晚,71
5001,经济,71
1737,对象,71
1390,并未,71
3478,坏人,71
4036,规则,71
10907,平安,71
41387,孔有德,71
2033,不幸,71
14335,官场,70
432,死去,70
5020,足以,70
6399,打破,70
7023,骂人,70
2414,智慧,70
943,杀人,70
5958,孙子,70
3749,流氓,70
4141,冲锋,70
450,拒绝,70
4316,过程,70
767,蒙古人,70
473,思考,70
21874,一般说来,69
92,秀才,69
7310,案件,69
3264,指望,69
14785,安南,69
3404,迎接,69
7848,拿出,69
2447,十一月,69
3648,火枪,69
2403,利用,69
3218,理想,68
1451,战术,68
1628,水军,68
6313,嚣张,68
8232,没想到,68
1857,信念,68
1018,天赋,68
1183,队伍,68
5244,抢劫,68
1975,六部,68
5174,教育,68
9777,藩王,68
33698,关宁,68
5401,公开,68
3715,五月,68
2177,思想,68
7859,社会,67
41562,周延儒,67
18490,王大人,67
970,干什么,67
9018,十四年,67
4247,统一,67
454,尸体,67
11824,不见,67
10498,不起眼,67
5037,后果,67
7212,知县,67
27167,清军,67
1341,发起,67
2516,城头,66
1092,矛盾,66
3077,无非,66
1463,李文忠,66
602,黑暗,66
3580,城下,66
2777,镇守,66
3694,勇猛,66
2816,坚定,66
6282,寻找,66
39151,赵率教,66
576,考验,66
3876,精锐,66
2694,杀死,66
38420,熊廷弼,65
4276,崩溃,65
4553,死后,65
168,父母,65
1061,衣服,65
5255,子孙,65
14428,份儿,65
1150,带兵,65
22741,朱厚,65
15154,福建,65
21987,万贵妃,65
1087,统帅,65
6600,状元,65
2006,丞相,64
474,绝望,64
1366,成就,64
2463,程度,64
18685,后宫,64
39611,许显纯,64
4674,不肯,64
17525,这人,64
3285,出兵,64
16914,进宫,64
9098,边界,64
4618,赶走,63
4658,之外,63
5055,称呼,63
289,历经,63
7557,时任,63
11691,宫中,63
4939,户部,63
759,很难,63
6527,级别,63
97,职业,63
1565,传来,63
1745,注定,63
7278,八年,63
856,打败,63
11869,集结,63
1823,之战,63
5387,现实,63
6686,学士,63
10746,海盗,63
3526,感到,62
9385,作出,62
38547,李选侍,62
1166,攻克,62
5460,山西,62
8704,北平,62
1030,统治者,62
1019,准确,62
18947,汉奸,62
21627,曹钦,62
8976,罪名,62
1899,房子,62
1273,三千,62
1260,去世,62
1800,时期,62
15977,阿鲁台,61
2620,平日,61
4748,放心,61
3413,上任,61
13683,已然,61
706,出场,61
5898,混乱,61
5721,和平,61
1691,好事,61
38,心理,61
1915,一带,61
24836,孙燧,61
7521,同党,61
1460,朱文正,60
2201,活动,60
2193,绝不会,60
2195,六月,60
1879,担心,60
1111,参与,60
2674,声音,60
1556,紧张,60
38418,杨鹤,60
739,大将,60
7463,小人物,60
6587,升官,60
6392,传奇,60
8427,群众,60
4532,倒霉,60
15742,随从,60
2791,疑问,59
166,不停,59
7007,衙门,59
1574,口气,59
5978,同学,59
3032,一名,59
3174,至此,59
6511,当上,59
6684,翰林院,59
1958,游戏,59
1256,想起,59
1634,强盗,59
2245,不折不扣,59
140,出生,59
936,坚守,59
22775,压根儿,59
2659,大声,59
8600,真相,59
3223,洪都,59
9060,推荐,58
3767,暂时,58
84,外号,58
4737,光辉,58
17828,智商,58
38067,王安,58
1891,地区,58
14401,听话,58
14042,册立,58
1321,大营,58
4829,耿炳文,58
39126,满桂,58
339,政策,58
1455,全军,58
1877,小人,57
1010,官职,57
975,慌乱,57
9672,燕王,57
1603,前方,57
1819,众多,57
2614,传到,57
1063,感情,57
978,镇定,57
7170,反击,57
21033,曹吉祥,57
5696,远征,57
482,失望,57
460,可怜,56
1314,交代,56
543,熟悉,56
11734,二十多年,56
17006,左光斗,56
10129,礼物,56
946,开口,56
7733,付出,56
18984,宫里,56
286,事业,56
2774,驻守,56
3147,技术,56
17124,混混,56
9004,那天,56
1970,机构,55
1676,坏事,55
2079,形容,55
9854,政治家,55
1143,送给,55
2181,白痴,55
3698,上阵,55
13600,宫女,55
4903,感动,55
1441,难以,55
2564,地上,55
890,抉择,55
6718,年纪,55
5685,平定,54
2413,看法,54
184,当官,54
2759,这座,54
31239,平壤,54
1886,此战,54
7093,传统,54
234,未来,54
1894,生意,54
2590,使命,54
2643,脾气,54
4188,目瞪口呆,54
200,地主,54
3680,士气,54
1022,军中,54
16892,杨荣,54
8669,方孝孺,54
1476,小小的,54
1498,吃惊,54
5918,有趣,54
6167,完美,54
1067,职位,53
4898,审讯,53
1080,人员,53
4931,木儿,53
3169,好处,53
389,满意,53
4033,正义,53
5332,防线,53
10475,哥哥,53
39610,崔呈秀,53
10753,头领,53
2446,万万,53
931,郭子兴,53
3447,意想不到,53
2648,耐心,53
2945,俘虏,53
37387,顾宪成,53
4660,正月,53
1898,地盘,52
4605,妥协,52
1554,指使,52
10457,保住,52
996,勇敢,52
1677,战死,52
981,询问,52
3835,十分高兴,52
4904,答复,52
926,艰苦,52
1154,停止,52
4818,几百年,52
3870,怀疑,52
34718,岛津义弘,52
38549,朱由校,52
10600,今日,52
4971,强悍,52
3098,害怕,52
7662,部门,52
4124,全军覆没,52
445,一辈子,52
632,少年,52
1666,理会,52
1668,船只,52
842,恐惧,52
2897,船队,52
2326,先锋,52
2794,优势,52
2946,损失,52
4326,一刀,52
8666,当兵,52
6678,郎中,52
1696,北方,51
26696,一点儿,51
6628,正统,51
10471,神秘,51
8003,朝政,51
1972,设置,51
7320,犯人,51
2087,承认,51
1335,跟随,51
5462,纳哈,51
10193,上门,51
38772,王化贞,51
7623,继位,51
29250,张经,51
1008,提拔,51
6757,翰林,51
4957,愚蠢,51
1101,兴趣,51
6477,做梦,51
23274,闹腾,51
9165,召见,51
3817,只不过,51
2273,干吗,51
2120,动机,51
1163,看守,50
1106,惊讶,50
5288,十月,50
5126,五个,50
4545,一口气,50
9314,几句,50
4809,足够,50
2374,弱点,50
2329,生气,50
11036,二位,50
4611,说到底,50
1071,干得,50
2215,回头,50
1105,表情,50
4834,西北,50
15725,女真,50
11090,遇上,50
2741,战败,50
3052,教训,50
5846,击溃,50
20035,够意思,50
12592,火器,50
3205,带头,50
3476,标准,50
10270,使臣,50
8432,送到,50
1091,深刻,49
1423,读书人,49
2771,犹豫,49
8131,清朝,49
12815,铁铉,49
1647,战船,49
3827,待遇,49
7984,一品,49
6844,圣人,49
14322,进京,49
5044,安心,49
3713,顽强,49
28,是从,49
9970,不要紧,49
5284,一同,49
8658,充军,49
740,后人,49
8843,老爹,49
6269,创造,49
39449,客氏,49
2262,对抗,49
6112,没准,49
2595,天子,49
1509,地说,49
19299,谕令,49
127,妻子,49
8860,不说,48
238,王朝,48
1685,应天,48
898,合适,48
7133,老乡,48
5805,感叹,48
9388,没用,48
5749,高手,48
12174,援军,48
37110,朱常洛,48
21829,唐寅,48
20,写下,48
29907,毛海峰,48
1327,属下,48
6138,无数次,48
3199,二十一年,48
959,奇特,48
13930,张辅,48
9918,本书,48
28770,严党,48
6218,人选,48
20893,搞定,48
2728,坚固,48
4977,背景,48
2859,圈套,48
3451,擅长,48
1207,挑选,48
4960,资格,47
6453,发配,47
1230,有名,47
2043,莫名其妙,47
1232,九月,47
10137,世上,47
813,种种,47
21817,成化,47
4243,就此结束,47
4773,随便,47
40132,袁督师,47
9700,逮捕,47
757,自古以来,47
16896,土匪,47
232,就让,47
585,生存,47
20034,觉悟,47
9764,群臣,47
1719,个个,47
1332,主帅,46
8431,玩命,46
2780,埋伏,46
1084,更大,46
7142,权谋,46
4523,那一刻,46
1718,徐寿辉,46
1094,城里,46
170,惯例,46
12023,发言,46
48,明史,46
7715,公文,46
322,客观,46
3225,南昌,46
3381,一刻,46
19499,太上皇,46
12984,屁股,46
4986,登上,46
3578,严厉,46
10176,礼仪,46
1039,眼神,46
4183,前去,45
298,至正,45
1978,太师,45
3367,观点,45
19542,白银,45
1186,素质,45
5601,十二月,45
1218,明王朝,45
18885,喜宁,45
11619,山海关,45
17521,悲痛,45
3786,接替,45
3370,眼中,45
1428,名叫,45
1155,奉命,45
1484,开会,45
3323,三月,45
1937,不住,45
2303,大败,45
2107,听见,45
749,在历史上,45
1883,挽救,45
4370,包围,45
14997,圣贤,44
6111,滑稽,44
3416,整日,44
4540,解决问题,44
8604,这封,44
6932,政务,44
5471,旁边,44
8338,高级,44
6963,都御史,44
953,骑马,44
3243,在此之前,44
1157,老家,44
4409,说完,44
5114,之内,44
390,四月,44
42605,孙传庭,44
1275,老板,44
1517,显示,44
3904,走到,44
6983,七品,44
5892,战法,44
2357,动作,44
1811,有钱,44
853,处罚,44
1374,区别,44
20572,杨善,43
1035,军营,43
3655,装备,43
3322,任何人,43
1169,连续,43
8364,驿站,43
559,亲戚,43
18506,土木,43
2482,详细,43
873,性命,43
2849,这片,43
1387,书生,43
1792,明知,43
16368,索性,43
2888,精明,43
1626,步兵,43
10473,糊弄,43
2088,说起,43
3018,想出,43
1204,远远,43
88,民族,43
3764,拼死,43
5814,出战,43
1215,眼光,43
5603,抵达,42
858,角度,42
15991,马哈木,42
16752,地方官,42
37779,李三才,42
5420,应对,42
9862,父子,42
3877,二十万,42
1850,火炮,42
3710,成长,42
2719,出击,42
1701,起兵,42
2444,自杀,42
26461,桂萼,42
2608,角色,42
22899,刘健,42
7413,都督,42
13273,短短,42
2194,放过,42
5465,云南,42
1194,叔叔,42
2505,速度,42
5376,把戏,42
11011,王府,42
328,奸臣,42
10415,挺身而出,42
4525,道德,42
11316,笑容,42
2393,胜利者,42
17440,离去,42
5612,深夜,41
13280,作弊,41
10617,距离,41
1963,唯恐,41
5411,无疑,41
5447,逃走,41
8531,九年,41
1188,堪称,41
5320,湖广,41
1285,见面,41
1427,行礼,41
5341,济南,41
8859,狡猾,41
2286,时不时,41
2332,官位,41
11385,道士,41
820,杀头,41
41109,钱龙锡,41
8783,风光,41
3789,部署,41
2462,惊人,41
538,意志,41
3850,点头,41
718,程序,41
17264,光明,41
903,没事,41
7956,平凡,41
2930,冲击,41
11195,黄子澄,41
666,十一年,41
18797,和谈,41
4119,中军,41
4093,制定,41
28199,杨博,41
754,反抗,41
7734,代价,40
2078,八个,40
2559,有限,40
10664,成绩,40
2773,指示,40
8679,清醒,40
3489,超越,40
5348,五万,40
691,收入,40
3793,睡觉,40
5980,忽略,40
28945,王世贞,40
23173,老头,40
534,十余年,40
987,印象,40
7844,国子监,40
2604,乖乖,40
527,孤独,40
11369,姚广孝,40
7345,谋反,40
28478,仇鸾,40
1443,开战,40
4836,神仙,40
3247,二月,40
1468,主角,40
2714,事后,40
5434,后世,40
1180,凤阳,40
372,长官,40
10239,国内,40
9572,黄金,40
5487,老朋友,40
950,进城,40
10631,皇宫,40
4022,老实人,40
18511,宣府,40
7868,朱标,39
11391,修道,39
11131,偶然,39
7383,注视,39
1214,考官,39
8366,料到,39
6726,吉士,39
11865,之际,39
3337,情绪,39
2856,征服,39
4178,败退,39
2234,目光,39
766,朝代,39
7057,遇见,39
14818,震惊,39
4129,发挥,39
11713,人质,39
3419,日夜,39
1381,冯胜,39
6193,把握,39
6679,五品,39
3518,攻打,39
13180,在场,39
26272,郭勋,39
4670,批准,39
448,找个,39
2281,部将,39
29963,陈东,39
10216,关进,39
5120,四川,39
18953,袁彬,39
799,起义军,39
10272,通报,39
4465,消灭,39
43502,年版,39
5444,称号,39
1093,爆发,39
18527,马顺,39
3737,激烈,39
3812,支撑,38
6556,牢房,38
7416,朝中,38
31243,加藤,38
4067,观察,38
1874,政权,38
199,度过,38
3651,先进,38
2757,一座,38
965,兵器,38
2617,大部分,38
2781,南城,38
1837,不理,38
2186,描述,38
1651,太平,38
7022,奏章,38
2311,继承,38
2111,长时间,38
7968,没能,38
816,仇恨,38
37879,张差,38
825,形象,38
4069,场景,38
828,投奔,38
1532,头疼,38
2016,整顿,38
9393,证据,38
26828,差点儿,38
3271,商量,38
1458,迎来,38
6204,资历,38
1041,佩服,38
1667,总攻,38
3603,终点,38
1386,穿着,38
5241,立下,38
2480,威风,38
21439,清正,38
1464,记住,38
775,思维,38
1683,攻破,38
30559,戚家军,37
11753,奇怪的是,37
6033,无辜,37
9488,好不容易,37
2739,未能,37
1459,侄子,37
924,战友,37
651,更让人,37
8396,最多,37
77,轻松,37
12241,朱能,37
1645,就行,37
8320,银子,37
3482,导致,37
1365,训练,37
3545,数字,37
11225,三人,37
5740,短暂,37
3672,弓箭,37
3457,不利,37
4822,分配,37
6541,会试,37
2154,这话,37
5397,局面,37
4694,二人,37
1299,热情,37
4935,就行了,37
974,拉出去,37
1125,讨厌,37
4614,通俗,37
10931,后台,37
4964,走出,37
8129,流传,37
2097,长大,37
5018,无赖,37
4472,情报,37
14605,共计,37
2363,战后,37
1977,干部,37
5163,千古,37
14337,正直,37
7671,英明,37
8352,出头,37
16865,江湖,37
2162,重臣,37
4761,讨论,36
470,从来不,36
14106,叛徒,36
11452,给钱,36
5289,派遣,36
9902,文盲,36
1382,十三年,36
3619,死伤,36
6512,平民,36
2005,外加,36
6194,三位,36
34552,石星,36
3068,两句,36
5316,失陷,36
2408,体现,36
751,记录,36
933,苦苦,36
4258,一本,36
3284,小事,36
6483,科举,36
1670,十五年,36
580,意味着,36
3432,典型,36
7078,特意,36
7480,难题,36
3800,援兵,36
6030,出名,36
1562,头上,36
2171,宝座,36
3947,胜负,36
5517,关外,36
7232,人头,36
3204,手持,36
5525,数量,36
155,女儿,36
4023,尊重,36
6824,废话,36
5850,这下子,36
7581,此案,36
165,活下去,36
6116,抱负,36
6155,宁夏,36
4779,老兄,36
1533,十几万,36
3829,聪明人,36
20413,抄家,36
3385,战舰,36
23195,好歹,36
11262,正当,36
11110,老人家,36
4942,为官,36
38348,方从哲,36
3382,闲着,36
12175,紧急,35
4442,刀剑,35
2365,年轻人,35
12193,出事,35
4938,策略,35
16299,瓦剌军,35
5042,留在,35
7019,概括,35
2330,小子,35
7945,江山,35
2151,眼泪,35
2214,功劳,35
7066,不准,35
11548,爷爷,35
2972,大门,35
3461,耳朵,35
236,幸福,35
18064,混到,35
4065,在内,35
14845,迁都,35
15334,陈祖义,35
7415,一批,35
14847,抢掠,35
10212,诏狱,35
216,十二年,35
1300,接待,35
7406,黑锅,35
12639,邱福,35
5375,几句话,35
16906,同事,35
2623,露出,35
5479,第一名,35
172,家族,35
7145,封赏,35
951,借口,35
3840,上路,35
934,思索,35
3865,最强,35
2557,无所谓,35
22292,掌门,35
1929,长得,35
10191,廷杖,35
5812,郁闷,35
7316,服从,35
8368,告状,35
3515,城市,35
14274,囚犯,34
8257,回报,34
2369,善于,34
36115,杨镐,34
21368,作者,34
2061,体系,34
4805,固定,34
4371,不愿,34
7988,二品,34
5467,高丽,34
3019,人去,34
16722,没准儿,34
11066,伺候,34
10611,年轻,34
4328,综合,34
17287,凑合,34
10364,奄奄一息,34
4760,精英,34
23365,王华,34
3628,猛烈,34
9046,低调,34
2238,大殿,34
13145,旨意,34
3555,景象,34
31254,祖承训,34
11013,护卫,34
12073,平息,34
7930,生死,34
5262,承担,34
24124,地道,34
9781,漏洞,34
5591,坚信,34
6201,路线,34
353,遭遇,34
317,不去,34
8544,不难,34
1257,那次,34
949,人来,34
7071,圣旨,34
778,当成,34
513,忍耐,34
338,改革,34
584,尊严,34
851,败仗,34
71,精彩,34
663,踏上,34
764,分为,34
10691,混个,34
43327,徐宏祖,33
3483,悲剧,33
2560,一项,33
5611,伤亡,33
3251,据点,33
3853,合作,33
3026,哭笑不得,33
2705,战略,33
2114,顶点,33
7962,承诺,33
847,规律,33
3856,连忙,33
3652,大规模,33
2240,大典,33
1865,攻下,33
719,起义,33
12937,找人,33
3329,表演,33
1269,资本,33
895,提到,33
4758,二十六年,33
9637,开门,33
12588,只得,33
2165,十万,33
4330,具备,33
494,生涯,33
